Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
B73	2017	2	29	FUELA	73.27083333	3	3	1	3	2017_Loc2
B73	2017	2	29	MLA	67.565	4	3	1	3	2017_Loc2
B73	2017	2	29	TUELA	76.29433333	2	3	1	3	2017_Loc2
B73	2017	2	29	ULA	78.63833333	1	3	1	3	2017_Loc2
B73	2017	2	36	FUELA	74.53685714	3	3	1	4	2017_Loc2
B73	2017	2	36	MLA	63.307	4	3	1	4	2017_Loc2
B73	2017	2	36	TUELA	78.9605	2	3	1	4	2017_Loc2
B73	2017	2	36	ULA	82.80933333	1	3	1	4	2017_Loc2
PHW30	2017	2	35	FUELA	79.53666667	3	3	3	4	2017_Loc2
PHW30	2017	2	35	MLA	76.79033333	4	3	3	4	2017_Loc2
PHW30	2017	2	35	TUELA	82.93633333	2	3	3	4	2017_Loc2
PHW30	2017	2	35	ULA	78.7435	1	3	3	4	2017_Loc2
Mo17	2017	2	16	FUELA	56.39916667	3	3	2	4	2017_Loc2
Mo17	2017	2	16	MLA	49.56266667	4	3	2	4	2017_Loc2
Mo17	2017	2	16	TUELA	52.80333333	2	3	2	4	2017_Loc2
Mo17	2017	2	16	ULA	49.29483333	1	3	2	4	2017_Loc2
Mo17	2017	2	6	FUELA	56.163	3	3	2	5	2017_Loc2
Mo17	2017	2	6	MLA	55.852	4	3	2	5	2017_Loc2
Mo17	2017	2	6	TUELA	54.56683333	2	3	2	5	2017_Loc2
Mo17	2017	2	6	ULA	57.455	1	3	2	5	2017_Loc2
B73	2017	2	12	FUELA	75.925	3	3	1	5	2017_Loc2
B73	2017	2	12	MLA	66.13866667	4	3	1	5	2017_Loc2
B73	2017	2	12	TUELA	75.8085	2	3	1	5	2017_Loc2
B73	2017	2	12	ULA	77.67316667	1	3	1	5	2017_Loc2
PHW30	2017	2	13	FUELA	78.73966667	3	3	3	5	2017_Loc2
PHW30	2017	2	13	MLA	75.58733333	4	3	3	5	2017_Loc2
PHW30	2017	2	13	TUELA	80.49383333	2	3	3	5	2017_Loc2
PHW30	2017	2	13	ULA	77.41316667	1	3	3	5	2017_Loc2
Mo17	2017	2	23	FUELA	58.85033333	3	3	2	6	2017_Loc2
Mo17	2017	2	23	MLA	51.7965	4	3	2	6	2017_Loc2
Mo17	2017	2	23	TUELA	62.55166667	2	3	2	6	2017_Loc2
Mo17	2017	2	23	ULA	54.9765	1	3	2	6	2017_Loc2
PHW30	2017	2	14	FUELA	82.3585	3	3	3	6	2017_Loc2
PHW30	2017	2	14	MLA	72.85083333	4	3	3	6	2017_Loc2
PHW30	2017	2	14	TUELA	84.57766667	2	3	3	6	2017_Loc2
PHW30	2017	2	14	ULA	78.265	1	3	3	6	2017_Loc2
B73	2017	2	9	FUELA	74.11483333	3	3	1	6	2017_Loc2
B73	2017	2	9	MLA	68.0105	4	3	1	6	2017_Loc2
B73	2017	2	9	TUELA	78.49183333	2	3	1	6	2017_Loc2
B73	2017	2	9	ULA	83.40166667	1	3	1	6	2017_Loc2
B73	2017	2	11	FUELA	75.356	3	3	1	7	2017_Loc2
B73	2017	2	11	MLA	67.508	4	3	1	7	2017_Loc2
B73	2017	2	11	TUELA	81.00933333	2	3	1	7	2017_Loc2
B73	2017	2	11	ULA	81.62066667	1	3	1	7	2017_Loc2
PHW30	2017	2	25	FUELA	81.718	3	3	3	7	2017_Loc2
PHW30	2017	2	25	MLA	74.38966667	4	3	3	7	2017_Loc2
PHW30	2017	2	25	TUELA	82.92733333	2	3	3	7	2017_Loc2
PHW30	2017	2	25	ULA	74.35033333	1	3	3	7	2017_Loc2
Mo17	2017	2	30	FUELA	60.1055	3	3	2	7	2017_Loc2
Mo17	2017	2	30	MLA	57.33733333	4	3	2	7	2017_Loc2
Mo17	2017	2	30	TUELA	52.3615	2	3	2	7	2017_Loc2
Mo17	2017	2	30	ULA	54.96866667	1	3	2	7	2017_Loc2
B73	2017	2	33	FUELA	76.87333333	3	3	1	8	2017_Loc2
